barcode,price,Stock,name,product_code,Image1,Image2,Image3,Image4,Image5,product_id
8690442004012,61.81,106,Kekik Suyu Pet Şişe 1500 ML,Lokman-34125,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kekik-suyu-1500ml-4943.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kekik-suyu-1500ml-4944.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kekik-suyu-1500ml-4945.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kekik-suyu-1500ml-4946.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kekik-suyu-1500ml-16740.jpg,57
8901810000223,43.23,46,Karanfil Kokulu 20 Çubuk Tütsü - Clove,LOKMANAVM-35159,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karanfil-kokulu-20-cubuk-tutsu-clove-10246.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karanfil-kokulu-20-cubuk-tutsu-clove-10247.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karanfil-kokulu-20-cubuk-tutsu-clove-13177.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karanfil-kokulu-20-cubuk-tutsu-clove-13178.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karanfil-kokulu-20-cubuk-tutsu-clove-13179.jpg,58
8901810000896,43.23,46,Limon Kokulu 20 Çubuk Tütsü - Lemon,LOKMANAVM-35228,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/limon-kokulu-20-cubuk-tutsu-lemon-10240.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/limon-kokulu-20-cubuk-tutsu-lemon-10241.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/limon-kokulu-20-cubuk-tutsu-lemon-17182.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/limon-kokulu-20-cubuk-tutsu-lemon-17183.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/limon-kokulu-20-cubuk-tutsu-lemon-17184.jpg,61
8901810001596,43.23,14,Menekşe Kokulu 20 Çubuk Tütsü - Violet,LOKMANAVM-35231,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/menekse-kokulu-tutsu-20li-4306.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/menekse-kokulu-tutsu-20li-4308.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/menekse-kokulu-20-cubuk-tutsu-violet-17178.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/menekse-kokulu-20-cubuk-tutsu-violet-17179.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/menekse-kokulu-20-cubuk-tutsu-violet-17180.jpg,62
8901810001046,43.23,81,Fragrance Mistik Aromatik Kokulu 20 Çubuk Tütsü - Precious Fragrance,LOKMANAVM-35168,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/mistik-fragrance-aromatik-tutsu-20li-4311.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/mistik-fragrance-aromatik-tutsu-20li-4312.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/fragrance-mistik-aromatik-kokulu-20-cubuk-tutsu-precious-fragrance-17174.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/fragrance-mistik-aromatik-kokulu-20-cubuk-tutsu-precious-fragrance-17175.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/fragrance-mistik-aromatik-kokulu-20-cubuk-tutsu-precious-fragrance-17176.jpg,65
8699336433228,57.57,22,Kaş ve Kirpik Bakım Yağı 10 ML,Lokman-34915,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kas-ve-kirpik-bakim-yagi-10ml-9972.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kas-ve-kirpik-bakim-yagi-10ml-9973.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kas-ve-kirpik-bakim-yagi-10ml-9974.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kas-ve-kirpik-bakim-yagi-10ml-9975.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kas-ve-kirpik-bakim-yagi-10ml-17990.jpg,66
8901810000001,43.23,57,Chandan Değerli Mistik Kokulu 20 Çubuk Tütsü - Precious Chandan,LOKMANAVM-35171,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/mistik-tutsu-chandan-degerli-20li-4315.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/mistik-tutsu-chandan-degerli-20li-4316.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/chandan-degerli-mistik-kokulu-20-cubuk-tutsu-precious-chandan-17170.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/chandan-degerli-mistik-kokulu-20-cubuk-tutsu-precious-chandan-17171.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/chandan-degerli-mistik-kokulu-20-cubuk-tutsu-precious-chandan-17172.jpg,67
8901810006140,43.23,18,Gül Vanilya Kokulu 20 Çubuk Tütsü - Rose Vanilla,Lokman-35207,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-vanilya-kokulu-20-cubuk-tutsu-rose-vanilla-10237.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-vanilya-kokulu-20-cubuk-tutsu-rose-vanilla-10238.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-vanilya-kokulu-20-cubuk-tutsu-rose-vanilla-17166.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-vanilya-kokulu-20-cubuk-tutsu-rose-vanilla-17167.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-vanilya-kokulu-20-cubuk-tutsu-rose-vanilla-17168.jpg,68
8901810000636,43.23,22,Gül Misk Kokulu 20 Çubuk Tütsü - Rose Musk,Lokman-35210,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-misk-kokulu-20-cubuk-tutsu-rose-musk-10234.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-misk-kokulu-20-cubuk-tutsu-rose-musk-10235.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-misk-kokulu-20-cubuk-tutsu-rose-musk-17162.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-misk-kokulu-20-cubuk-tutsu-rose-musk-17163.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/gul-misk-kokulu-20-cubuk-tutsu-rose-musk-17164.jpg,69
8901810001848,43.23,21,Karışık Gül Çiçek Kokulu 20 Çubuk Tütsü - Potpourri,LOKMANAVM-35221,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karisik-gul-cicek-kokulu-20-cubuk-tutsu-potpourri-10231.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karisik-gul-cicek-kokulu-20-cubuk-tutsu-potpourri-10232.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karisik-gul-cicek-kokulu-20-cubuk-tutsu-potpourri-17158.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karisik-gul-cicek-kokulu-20-cubuk-tutsu-potpourri-17159.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/karisik-gul-cicek-kokulu-20-cubuk-tutsu-potpourri-17160.jpg,70
8697434460030,301.99,75,Çin Yağı 25 ML - Yüzde 100 Saf Doğal Nane Yağı,Lokman-16523,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/cin-yagi-25ml-3703.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/cin-yagi-25ml-3704.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/cin-yagi-25ml-3705.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/cin-yagi-25ml-3706.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/cin-yagi-25ml-3707.jpg,73
8901810000025,43.23,32,Yasemin Değerli Mogra Kokulu 20 Çubuk Tütsü - Precious Mogra,LOKMANAVM-35249,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/yasemin-degerli-mogra-kokulu-20-cubuk-tutsu-precious-mogra-10222.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/yasemin-degerli-mogra-kokulu-20-cubuk-tutsu-precious-mogra-10223.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/yasemin-degerli-mogra-kokulu-20-cubuk-tutsu-precious-mogra-17146.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/yasemin-degerli-mogra-kokulu-20-cubuk-tutsu-precious-mogra-17147.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/yasemin-degerli-mogra-kokulu-20-cubuk-tutsu-precious-mogra-17148.jpg,74
8697603623594,53.53,1,Çörek Otu Doğal Öğütülmüş Teneke Kutu 150 Gr,Lokman-34107,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/corekotu-ogutulmus-150gr-tnk-3755.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/corekotu-ogutulmus-150gr-tnk-3756.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/corekotu-ogutulmus-150gr-tnk-3757.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/corekotu-ogutulmus-150gr-tnk-16737.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/corekotu-ogutulmus-150gr-tnk-16738.jpg,76
8901810004498,43.23,14,Vahşi Orkide Kokulu 20 Çubuk Tütsü - Wild Orchids,LOKMANAVM-35246,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/vahsi-orkide-kokulu-20-cubuk-tutsu-wild-orchids-10216.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/vahsi-orkide-kokulu-20-cubuk-tutsu-wild-orchids-10217.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/vahsi-orkide-kokulu-20-cubuk-tutsu-wild-orchids-13316.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/vahsi-orkide-kokulu-20-cubuk-tutsu-wild-orchids-13317.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/vahsi-orkide-kokulu-20-cubuk-tutsu-wild-orchids-13318.jpg,77
8901810001725,43.23,12,Sandal Tarçın Kokulu 20 Çubuk Tütsü - Sandal Cinnamon,Lokman-35174,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/sandal-tarcin-kokulu-tutsu-20li-4351.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/sandal-tarcin-kokulu-tutsu-20li-4353.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/sandal-tarcin-kokulu-20-cubuk-tutsu-sandal-cinnamon-17138.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/sandal-tarcin-kokulu-20-cubuk-tutsu-sandal-cinnamon-17139.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/sandal-tarcin-kokulu-20-cubuk-tutsu-sandal-cinnamon-17140.jpg,78
